indicator_id,title,ods_number,unit,loaded,n_observations
3.3.2A,"3.3.2a Incidencia de la tuberculosis por cada 100,000 habitantes, por grupos de edad y según el tipo de tuberculosis (1990-2024)",3,Tasa,True,35
3.3.2B,"3.3.2b Incidencia de la tuberculosis por cada 100,000, habitantes, por entidad federativa y según tipo de tuberculosis (1990-2024)",3,Tasa,True,35
3.3.2C,"3.3.2c Incidencia de la tuberculosis por cada 100,000 habitantes, por entidad federativa, según sexo, grupos de edad y tipo de tuberculosis (2003-2024)",3,Tasa,True,22
3.3.3,3.3.3 Incidencia de paludismo (por cada 100 mil habitantes),3,Casos confirmados por cada 100 mil habitantes,True,35
3.3.4,"3.3.4 Incidencia de la hepatitis B por cada 100,000 habitantes (menores de 5 años)",3,Tasa por cada 100 mil habitantes menores de 5 años,True,35
3.3.5,"3.3.5 Proporción de tratamientos otorgados a casos confirmados de paludismo, para la prevención, control y eliminación de la transmisión del Plasmodium Vivax",3,Porcentaje,True,35
3.4.1,"3.4.1 Tasa de mortalidad atribuida a las enfermedades cardiovasculares, el cáncer, la diabetes o las enfermedades respiratorias crónicas",3,Tasa de mortalidad,True,27
3.4.2.A,3.4.2.a Tasa de mortalidad por suicidio,3,Tasa,True,31
3.4.2.B,3.4.2.b Número de muertes por suicidio (personas con residencia habitual fuera de México o no especificada),3,Defunciones,True,31
3.6.1,3.6.1 Tasa de mortalidad por lesiones debidas a accidentes de tráfico,3,Porcentaje,True,25
3.7.1,3.7.1 Porcentaje de mujeres en edad fértil (15 a 49 años) unidas con demanda satisfecha de métodos anticonceptivos modernos,3,Porcentaje,True,4
3.7.2.A,3.7.2.a Tasa de fecundidad en niñas y adolescentes (de 10 a 14 años) por cada 1 000 niñas y adolescentes en ese grupo de edad,3,Número de hijos(as) nacidos(as) vivos(as) por cada 1 000 niñas y adolescentes entre 10 y 14 años,True,17
3.7.2.B,3.7.2.b Tasa de fecundidad en adolescentes (de 15 a 19 años) por cada 1 000 mujeres de ese grupo de edad,3,Número de hijos(as) nacidos(as) vivos(as) por cada 1 000 adolescentes entre 15 y 19 años,True,16
3.9.1,3.9.1 Tasa de mortalidad atribuida a la contaminación de los hogares y del aire ambiente,3,"Número de muertes por cada 100,000 habitantes",True,9
3.9.2A,"3.9.2a Tasa de mortalidad atribuida al agua insalubre, el saneamiento deficiente y la falta de higiene (exposición a servicios insalubres de agua, saneamiento e higiene para todos (WASH))",3,Tasa,True,26
3.9.2B,"3.9.2b Defunciones atribuidas al agua insalubre, el saneamiento deficiente y la falta de higiene (exposición a servicios insalubres de agua, saneamiento e higiene para todos (WASH)), según la residencia habitual fuera de México o no especificada",3,Defunciones,True,25
3.9.3A,3.9.3a Tasa de mortalidad atribuida a intoxicaciones involuntarias,3,Tasa,True,26
3.9.3B,"3.9.3b Defunciones atribuidas a intoxicaciones involuntarias, según la residencia habitual fuera de México o no especificada",3,Defunciones,True,26
3.C.1,3.c.1 Densidad y distribución del personal sanitario,3,Densidad,True,11
3N.1.1.A,"3n.1.1.a Porcentaje de la población que presenta carencia por acceso a los servicios de salud, por desglose geográfico y grupo poblacional (Entidad federativa)",3,Porcentaje,False,0
3N.1.1.B,"3n.1.1.b Porcentaje de la población que presenta carencia por acceso a los servicios de salud, por desglose geográfico y grupo poblacional (Municipio o demarcación territorial)",3,Porcentaje,False,0
3N.1.1,3n.1.1 Porcentaje de la población que presenta carencia por acceso a los servicios de salud,3,Porcentaje,True,4
3N.1.2.A,"3n.1.2.a Porcentaje de población que tardaría menos de dos horas en llegar a un hospital en caso de una emergencia, por desglose geográfico",3,Porcentaje,False,0
3N.1.2,3n.1.2 Porcentaje de población que tardaría menos de dos horas en llegar a un hospital en caso de una emergencia,3,Porcentaje,True,4
3N.1.3.A,"3n.1.3.a Porcentaje de población derechohabiente que no gastó en servicios médicos la última vez que recibió atención médica, por desglose geográfico",3,Porcentaje,False,0
3N.1.3,3n.1.3 Porcentaje de población derechohabiente que no gastó en servicios médicos la última vez que recibió atención médica,3,Porcentaje,True,4
3N.1.4,3n.1.4 Porcentaje de hogares con gasto catastrófico en salud,3,Porcentaje,True,10
3N.3.1,3n.3.1 Tasa de fecundidad en niñas de 10 a 14 años,3,Número de hijos(as) nacidos(as) vivos(as) por cada 1 000 niñas y adolescentes entre 10 y 14 años,True,7
3N.4.1.B,"3n.4.1.b Porcentaje de la población con sobrepeso y obesidad, por entidad federativa",3,Porcentaje,True,2
3N.4.1A,"3n.4.1a Porcentaje de la población con sobrepeso y obesidad, desglosado por sexo y edad",3,Porcentaje,True,8
3R.3.C(1),3r.3.c(1) Incidencia de casos de enfermedades transmitidas por vectores,3,Población total,True,8
3R.3.C(2),"3r.3.c(2) Incidencia de casos de enfermedades transmitidas por vectores, por sexo y entidad federativa",3,"Tasa por cada 100,000 habitantes",False,0
3R.3A,3r.3a Tasa de prevalencia del VIH/SIDA entre la población de 15 a 49 años,3,Porcentaje,True,33
3R.3B,"3r.3b Mortalidad por VIH/SIDA, desglosada por sexo",3,Tasa defunciones por cada 100 mil habitantes.,True,33
